Series Code,Series Name,Country Code,Country Name,2007,2008,2009,2010
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,AFG,Afghanistan,0,0,..,..
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,ALB,Albania,..,..,..,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,DZA,Algeria,..,..,..,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,ASM,American Samoa,..,..,..,..
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,AND,Andorra,..,..,..,..
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,AGO,Angola,..,..,0.646721942,1.414952548
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,ATG,Antigua and Barbuda,..,0,..,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,ARG,Argentina,..,..,..,5.003175265
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,ARM,Armenia,..,..,6.0312242,11.39889369
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,ABW,Aruba,..,..,..,..
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,AUS,Australia,..,..,..,30.45124424
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,AUT,Austria,7.304643214,11.6281774,15.42170457,29.26023548
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,AZE,Azerbaijan,..,0,0.212769853,4.982703662
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BHS,Bahamas,..,..,..,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BHR,Bahrain,0.573599515,1.571897043,1.612547432,3.611803445
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BGD,Bangladesh,..,..,..,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BRB,Barbados,..,0,0,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BLR,Belarus,..,..,..,12.50596508
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BEL,Belgium,..,3.476279896,5.767137939,9.713775102
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BLZ,Belize,..,..,..,..
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BEN,Benin,..,..,..,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BMU,Bermuda,..,..,..,..
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BTN,Bhutan,..,..,0.053526515,0.274953853
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BOL,Bolivia,0.357426013,0.593493807,0.761256962,1.056813654
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BIH,Bosnia and Herzegovina,..,..,1.640265383,5.433880413
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BWA,Botswana,..,..,..,1.494809275
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BRA,Brazil,..,1.812322405,4.483619661,10.58134061
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BRN,Brunei Darussalam,..,..,4.992126828,5.514890204
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BGR,Bulgaria,..,..,1.895680497,7.999271983
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BFA,Burkina Faso,..,..,..,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BDI,Burundi,..,..,..,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,KHM,Cambodia,..,..,..,0.707300866
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,CMR,Cameroon,..,0,0,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,CAN,Canada,..,..,..,30.46901258
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,CPV,Cape Verde,..,..,..,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,CYM,Cayman Islands,..,..,..,..
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,CAF,Central African Rep.,..,..,0,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,TCD,Chad,..,..,0,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,CHL,Chile,..,..,3.535711836,8.435253699
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,CHN,China,..,..,0.923059299,3.507848127
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,COL,Colombia,..,0.347977511,2.004816923,2.398500515
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,COM,Comoros,..,..,..,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,COG,Congo,..,0,0,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,ZAR,Congo (Democratic Republic of the),..,..,..,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,CRI,Costa Rica,..,0,0,1.395183013
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,CIV,Cote d'Ivoire,..,..,..,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,HRV,Croatia,..,3.58782515,5.718562168,7.457742209
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,CUB,Cuba,..,0,0,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,CYP,Cyprus,..,..,..,29.46621519
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,CZE,Czech Republic,..,..,19.5311471,34.11525442
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,PRK,Dem. People's Rep. of Korea,..,..,..,..
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,DNK,Denmark,6.090767636,19.19365319,29.61015944,63.88962661
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,DJI,Djibouti,..,..,..,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,DMA,Dominica,..,0,0,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,DOM,Dominican Rep.,0.412895404,0.433525354,1.028422191,2.454287764
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,ECU,Ecuador,..,..,..,9.145370684
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,EGY,Egypt,..,..,11.26361977,16.35432799
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,SLV,El Salvador,..,..,1.775365101,2.325208506
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GNQ,Equatorial Guinea,..,0,0,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,ERI,Eritrea,..,..,0,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,EST,Estonia,..,..,..,24.03917563
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,ETH,Ethiopia,..,..,0.098537032,0.139844053
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,FRO,Faroe Islands,..,..,..,..
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,FJI,Fiji,..,..,..,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,FIN,Finland,..,9.023135115,71.29022197,84.29977113
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,FRA,France,10.33288808,20.03271807,30.44290178,36.62357433
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GUF,French Guiana,..,..,..,..
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,PYF,French Polynesia,..,0.151961322,0.301847321,1.681538166
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GAB,Gabon,..,..,..,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GMB,Gambia,..,..,0.237849743,0.462857427
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GEO,Georgia,..,..,..,14.77106982
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,DEU,Germany,11.14931272,16.48979122,23.05675122,25.75864526
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GHA,Ghana,..,..,..,6.85711765
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GIB,Gibraltar,..,..,..,..
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GRC,Greece,..,..,12.13624994,24.53081366
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GRL,Greenland,0,..,0,0.893605138
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GRD,Grenada,..,..,..,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GUM,Guam,..,..,..,..
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GTM,Guatemala,..,..,2.066465659,3.683387415
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,AAA,Guernsey,..,..,..,..
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GIN,Guinea,..,..,..,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GNB,Guinea-Bissau,..,..,..,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GUY,Guyana,..,..,..,0
I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,HTI,Haiti,..,0,0,0
