Country Name,Country Code,2011,2012
Aruba,ABW,25354.78247,
Andorra,AND,,
Afghanistan,AFG,613.9791916,687.245475
Angola,AGO,5159.233666,5482.428049
Albania,ALB,4109.082012,3999.92531
Arab World,ARB,7195.404462,
United Arab Emirates,ARE,39057.84011,
Argentina,ARG,10951.58273,11573.06497
Armenia,ARM,3421.726556,3351.381364
American Samoa,ASM,,
Antigua and Barbuda,ATG,12420.16276,12733.49043
Australia,AUS,62125.75523,67555.76209
Austria,AUT,49338.76066,46642.29033
Azerbaijan,AZE,7189.815151,7163.704143
Burundi,BDI,246.9143271,251.014523
Belgium,BEL,46422.12222,43372.37071
Benin,BEN,745.9154748,751.9163168
Burkina Faso,BFA,649.92523,634.3209746
Bangladesh,BGD,731.8941678,752.1560525
Bulgaria,BGR,7286.643902,6978.053084
Bahrain,BHR,22466.94518,
"Bahamas, The",BHS,21490.35708,21908.28046
Bosnia and Herzegovina,BIH,4754.074234,4555.64457
Belarus,BLR,6784.711838,6685.018749
Belize,BLZ,4720.816998,
Bermuda,BMU,85973.15842,84460.32775
Bolivia,BOL,2319.608523,2575.683695
Brazil,BRA,12575.97941,11339.52111
Barbados,BRB,15503.32855,14917.14951
Brunei Darussalam,BRN,40244.31182,41126.61284
Bhutan,BTN,2513.936759,2398.905819
Botswana,BWA,7697.396215,7238.019365
Sub-Saharan Africa (IFC classification),CAA,,
Central African Republic,CAF,498.7800669,482.6697266
Canada,CAN,51554.05921,52218.99369
East Asia and the Pacific (IFC classification),CEA,,
Europe and Central Asia (IFC classification),CEU,,
Switzerland,CHE,83087.05284,78924.7259
Channel Islands,CHI,,
Chile,CHL,14512.61129,15452.1736
China,CHN,5447.341422,6091.014352
Cote d'Ivoire,CIV,1241.561111,1243.986075
Latin America and the Caribbean (IFC classification),CLA,,
Middle East and North Africa (IFC classification),CME,,
Cameroon,CMR,1204.698212,1166.91341
"Congo, Rep.",COG,3414.05471,3153.739461
Colombia,COL,7148.863695,7747.841321
Comoros,COM,871.6920171,830.5196682
Cabo Verde,CPV,3801.449765,3695.424487
Costa Rica,CRI,8660.830835,9386.304835
South Asia (IFC classification),CSA,,
Caribbean small states,CSS,9190.21302,9317.667913
Cuba,CUB,6051.222001,
Curacao,CUW,,
Cayman Islands,CYM,,
Cyprus,CYP,29206.5106,26070.36743
Czech Republic,CZE,20580.17767,18682.81277
Germany,DEU,44314.96616,41862.71052
Djibouti,DJI,,
Dominica,DMA,6780.537527,6691.714872
Denmark,DNK,59889.0051,56325.65844
Dominican Republic,DOM,5492.654983,5745.779878
Algeria,DZA,5271.590312,5347.704734
East Asia & Pacific (developing only),EAP,4699.736097,5186.576429
East Asia & Pacific (all income levels),EAS,8500.838792,9036.563871
Europe & Central Asia (developing only),ECA,6854.201556,6939.491143
Europe & Central Asia (all income levels),ECS,24839.78254,23784.11719
Ecuador,ECU,5035.242493,5424.633611
"Egypt, Arab Rep.",EGY,2972.583516,3256.018469
Euro area,EMU,39318.84334,36526.84163
Eritrea,ERI,439.5423714,504.3021912
Spain,ESP,31472.5393,28624.47291
Estonia,EST,16808.94864,16716.67125
Ethiopia,ETH,335.002886,453.5689927
European Union,EUU,34825.6798,32782.08947
Finland,FIN,48634.17561,45720.76937
Fiji,FJI,4324.685529,4467.103791
France,FRA,42521.81295,39771.84281
Faeroe Islands,FRO,,
"Micronesia, Fed. Sts.",FSM,3000.150055,3154.513862
Gabon,GAB,11768.60629,11256.52276
United Kingdom,GBR,39503.31463,39093.47284
Georgia,GEO,3219.569963,3490.245316
Ghana,GHA,1594.030809,1604.905782
Guinea,GIN,454.0022776,491.7899781
"Gambia, The",GMB,517.752432,512.1031992
Guinea-Bissau,GNB,595.8292485,494.3146151
Equatorial Guinea,GNQ,23473.43564,24035.70609
Greece,GRC,25630.79451,22082.88975
Grenada,GRD,7766.473216,7266.675457
Greenland,GRL,,
Guatemala,GTM,3242.690796,3330.52523
Guam,GUM,,
Guyana,GUY,3258.048188,3583.96217
High income,HIC,38217.35361,38182.43346
"Hong Kong SAR, China",HKG,35172.51773,36795.81988
Honduras,HND,2261.649191,2322.88056
Heavily indebted poor countries (HIPC),HPC,751.033928,777.1259128
Croatia,HRV,14434.70172,13880.53607
Haiti,HTI,732.2093375,770.9512406
Hungary,HUN,13783.84074,12530.52664
Indonesia,IDN,3471.434594,3556.785714
Isle of Man,IMN,,
India,IND,1533.661307,1489.229008
Not classified,INX,,
Ireland,IRL,49343.5439,45931.72479
"Iran, Islamic Rep.",IRN,6815.570191,
Iraq,IRQ,5686.608364,6454.619628
Iceland,ISL,44030.57988,42416.03803
Israel,ISR,33250.0909,
Italy,ITA,36147.6461,33071.83931
Jamaica,JAM,5321.443214,5440.452465
Jordan,JOR,4665.94354,4909.028094
Japan,JPN,46134.56824,46720.35666
Kazakhstan,KAZ,11356.58348,12116.15461
Kenya,KEN,799.9612452,942.5408848
