Rank (2011),Country,1980,1990,2000,2005,2009,2010,2011,Level of HD (2011),ISO Code
1,Norway,0.796,0.844,0.913,0.938,0.941,0.941,0.943,Very high,NOR
2,Australia,0.85,0.873,0.906,0.918,0.926,0.927,0.929,Very high,AUS
3,Netherlands,0.792,0.835,0.882,0.89,0.905,0.909,0.91,Very high,NLD
4,United States,0.837,0.87,0.897,0.902,0.906,0.908,0.91,Very high,USA
5,New Zealand,0.8,0.828,0.878,0.899,0.906,0.908,0.908,Very high,NZL
6,Canada,0.817,0.857,0.879,0.892,0.903,0.907,0.908,Very high,CAN
7,Ireland,0.735,0.782,0.869,0.898,0.905,0.907,0.908,Very high,IRL
8,Liechtenstein,..,..,..,..,..,0.904,0.905,Very high,LIE
9,Germany,0.73,0.795,0.864,0.895,0.9,0.903,0.905,Very high,DEU
10,Sweden,0.785,0.816,0.894,0.896,0.898,0.901,0.904,Very high,SWE
11,Switzerland,0.81,0.833,0.873,0.89,0.899,0.901,0.903,Very high,CHE
12,Japan,0.778,0.827,0.868,0.886,0.895,0.899,0.901,Very high,JPN
13,"Hong Kong, China (SAR)",0.708,0.786,0.824,0.85,0.888,0.894,0.898,Very high,HKG
14,Iceland,0.762,0.807,0.863,0.893,0.897,0.896,0.898,Very high,ISL
15,Korea (Republic of),0.634,0.742,0.83,0.866,0.889,0.894,0.897,Very high,KOR
16,Denmark,0.783,0.809,0.861,0.885,0.891,0.893,0.895,Very high,DNK
17,Israel,0.763,0.802,0.856,0.874,0.884,0.886,0.888,Very high,ISR
18,Belgium,0.757,0.811,0.876,0.873,0.883,0.885,0.886,Very high,BEL
19,Austria,0.74,0.79,0.839,0.86,0.879,0.883,0.885,Very high,AUT
20,France,0.722,0.777,0.846,0.869,0.88,0.883,0.884,Very high,FRA
21,Slovenia,..,..,0.805,0.848,0.876,0.882,0.884,Very high,SVN
22,Finland,0.759,0.794,0.837,0.875,0.877,0.88,0.882,Very high,FIN
23,Spain,0.691,0.749,0.839,0.857,0.874,0.876,0.878,Very high,ESP
24,Italy,0.717,0.764,0.825,0.861,0.87,0.873,0.874,Very high,ITA
25,Luxembourg,0.728,0.788,0.854,0.865,0.863,0.865,0.867,Very high,LUX
26,Singapore,..,..,0.801,0.835,0.856,0.864,0.866,Very high,SGP
27,Czech Republic,..,..,0.816,0.854,0.863,0.863,0.865,Very high,CZE
28,United Kingdom,0.744,0.778,0.833,0.855,0.86,0.862,0.863,Very high,GBR
29,Greece,0.72,0.766,0.802,0.856,0.863,0.862,0.861,Very high,GRC
30,United Arab Emirates,0.629,0.69,0.753,0.807,0.841,0.845,0.846,Very high,ARE
31,Cyprus,..,0.747,0.8,0.809,0.837,0.839,0.84,Very high,CYP
32,Andorra,..,..,..,..,..,0.838,0.838,Very high,AND
33,Brunei Darussalam,0.75,0.784,0.818,0.83,0.835,0.837,0.838,Very high,BRN
34,Estonia,..,0.717,0.776,0.821,0.828,0.832,0.835,Very high,EST
35,Slovakia,..,0.747,0.779,0.81,0.829,0.832,0.834,Very high,SVK
36,Malta,0.703,0.753,0.799,0.825,0.827,0.83,0.832,Very high,MLT
37,Qatar,0.703,0.743,0.784,0.818,0.818,0.825,0.831,Very high,QAT
38,Hungary,0.7,0.706,0.775,0.803,0.811,0.814,0.816,Very high,HUN
39,Poland,..,..,0.77,0.791,0.807,0.811,0.813,Very high,POL
40,Lithuania,..,..,0.749,0.793,0.802,0.805,0.81,Very high,LTU
41,Portugal,0.639,0.708,0.778,0.789,0.805,0.808,0.809,Very high,PRT
42,Bahrain,0.651,0.721,0.773,0.795,0.805,0.805,0.806,Very high,BHR
43,Latvia,..,0.693,0.732,0.784,0.798,0.802,0.805,Very high,LVA
44,Chile,0.63,0.698,0.749,0.779,0.798,0.802,0.805,Very high,CHL
45,Argentina,0.669,0.697,0.749,0.765,0.788,0.794,0.797,Very high,ARG
46,Croatia,..,..,0.748,0.78,0.793,0.794,0.796,Very high,HRV
47,Barbados,..,..,..,0.787,0.79,0.791,0.793,Very high,BRB
48,Uruguay,0.658,0.686,0.736,0.748,0.773,0.78,0.783,High,URY
49,Palau,..,..,0.774,0.788,0.777,0.779,0.782,High,PLW
50,Romania,..,0.7,0.704,0.748,0.778,0.779,0.781,High,ROU
51,Cuba,..,0.677,0.681,0.725,0.77,0.773,0.776,High,CUB
52,Seychelles,..,..,0.764,0.766,0.767,0.771,0.773,High,SYC
53,Bahamas,..,..,0.752,0.766,0.769,0.77,0.771,High,BHS
54,Montenegro,..,..,..,0.757,0.768,0.769,0.771,High,MNE
55,Bulgaria,..,0.698,0.715,0.749,0.766,0.768,0.771,High,BGR
56,Saudi Arabia,0.651,0.693,0.726,0.746,0.763,0.767,0.77,High,SAU
