Name,Abbreviation,2012 HDI Value,2012 HDI rank
Norway,NOR,0.955,1
Australia,AUS,0.938,2
United States,USA,0.937,3
Netherlands,NLD,0.921,4
Germany,DEU,0.92,5
New Zealand,NZL,0.919,6
Ireland,IRL,0.916,7
Sweden,SWE,0.916,7
Switzerland,CHE,0.913,9
Japan,JPN,0.912,10
Canada,CAN,0.911,11
Korea (Republic of),KOR,0.909,12
"Hong Kong, China (SAR)",HKG,0.906,13
Iceland,ISL,0.906,13
Denmark,DNK,0.901,15
Israel,ISR,0.9,16
Belgium,BEL,0.897,17
Austria,AUT,0.895,18
Singapore,SGP,0.895,18
France,FRA,0.893,20
Finland,FIN,0.892,21
Slovenia,SVN,0.892,21
Spain,ESP,0.885,23
Liechtenstein,LIE,0.883,24
Italy,ITA,0.881,25
Luxembourg,LUX,0.875,26
United Kingdom,GBR,0.875,26
Czech Republic,CZE,0.873,28
Greece,GRC,0.86,29
Brunei Darussalam,BRN,0.855,30
Cyprus,CYP,0.848,31
Malta,MLT,0.847,32
Andorra,AND,0.846,33
Estonia,EST,0.846,33
Slovakia,SVK,0.84,35
Qatar,QAT,0.834,36
Hungary,HUN,0.831,37
Barbados,BRB,0.825,38
Poland,POL,0.821,39
Chile,CHL,0.819,40
Lithuania,LTU,0.818,41
United Arab Emirates,ARE,0.818,41
Portugal,PRT,0.816,43
Latvia,LVA,0.814,44
Argentina,ARG,0.811,45
Seychelles,SYC,0.806,46
Croatia,HRV,0.805,47
Bahrain,BHR,0.796,48
Bahamas,BHS,0.794,49
Belarus,BLR,0.793,50
Uruguay,URY,0.792,51
Montenegro,MNE,0.791,52
Palau,PLW,0.791,52
Kuwait,KWT,0.79,54
Russian Federation,RUS,0.788,55
Romania,ROU,0.786,56
Bulgaria,BGR,0.782,57
Saudi Arabia,SAU,0.782,57
Cuba,CUB,0.78,59
Panama,PAN,0.78,59
Mexico,MEX,0.775,61
Costa Rica,CRI,0.773,62
Grenada,GRD,0.77,63
Libya,LBY,0.769,64
Malaysia,MYS,0.769,64
Serbia,SRB,0.769,64
Antigua and Barbuda,ATG,0.76,67
Trinidad and Tobago,TTO,0.76,67
Kazakhstan,KAZ,0.754,69
Albania,ALB,0.749,70
Venezuela (Bolivarian Republic of),VEN,0.748,71
Dominica,DMA,0.745,72
Georgia,GEO,0.745,72
Lebanon,LBN,0.745,72
Saint Kitts and Nevis,KNA,0.745,72
Iran (Islamic Republic of),IRN,0.742,76
Peru,PER,0.741,77
The former Yugoslav Republic of Macedonia,MKD,0.74,78
Ukraine,UKR,0.74,78
Mauritius,MUS,0.737,80
Bosnia and Herzegovina,BIH,0.735,81
Azerbaijan,AZE,0.734,82
Saint Vincent and the Grenadines,VCT,0.733,83
Oman,OMN,0.731,84
Brazil,BRA,0.73,85
Jamaica,JAM,0.73,85
Armenia,ARM,0.729,87
Saint Lucia,LCA,0.725,88
Ecuador,ECU,0.724,89
Turkey,TUR,0.722,90
Colombia,COL,0.719,91
Sri Lanka,LKA,0.715,92
Algeria,DZA,0.713,93
Tunisia,TUN,0.712,94
Tonga,TON,0.71,95
Belize,BLZ,0.702,96
Dominican Republic,DOM,0.702,96
Fiji,FJI,0.702,96
Samoa,WSM,0.702,96
Jordan,JOR,0.7,100
China,CHN,0.699,101
Turkmenistan,TKM,0.698,102
Thailand,THA,0.69,103
Maldives,MDV,0.688,104
Suriname,SUR,0.684,105
Gabon,GAB,0.683,106
El Salvador,SLV,0.68,107
Bolivia (Plurinational State of),BOL,0.675,108
Mongolia,MNG,0.675,108
Occupied Palestinian Territory,PSE,0.67,110
Paraguay,PRY,0.669,111
Egypt,EGY,0.662,112
Moldova (Republic of),MDA,0.66,113
Philippines,PHL,0.654,114
Uzbekistan,UZB,0.654,114
Syrian Arab Republic,SYR,0.648,116
Micronesia (Federated States of),FSM,0.645,117
Guyana,GUY,0.636,118
Botswana,BWA,0.634,119
Honduras,HND,0.632,120
Indonesia,IDN,0.629,121
Kiribati,KIR,0.629,121
South Africa,ZAF,0.629,121
Vanuatu,VUT,0.626,124
Kyrgyzstan,KGZ,0.622,125
Tajikistan,TJK,0.622,125
Viet Nam,VNM,0.617,127
Namibia,NAM,0.608,128
Nicaragua,NIC,0.599,129
Morocco,MAR,0.591,130
Iraq,IRQ,0.59,131
Cape Verde,CPV,0.586,132
Guatemala,GTM,0.581,133
Timor-Leste,TLS,0.576,134
Ghana,GHA,0.558,135
Equatorial Guinea,GNQ,0.554,136
India,IND,0.554,136
Cambodia,KHM,0.543,138
Lao People's Democratic Republic,LAO,0.543,138
