Series Code,Series Name,Country Code,Country Name,2007,2008,2009,2010
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",AFG,Afghanistan,..,..,..,..
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",ALB,Albania,..,29.78723404,21.0469793,10.57285252
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",DZA,Algeria,..,17.03234597,15.14171267,14.78772887
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",ASM,American Samoa,..,..,..,..
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",AND,Andorra,..,..,47.22222222,45.03311258
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",AGO,Angola,..,163.1282236,154.2960871,133.179553
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",ATG,Antigua and Barbuda,..,..,54.94444444,56.64814815
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",ARG,Argentina,..,37.84987277,32.3180593,25.64168378
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",ARM,Armenia,..,39.21965951,33.03209894,32.11475673
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",ABW,Aruba,..,..,38.54748603,38.54748603
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",AUS,Australia,..,50.29362416,46.76287051,36.65137615
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",AUT,Austria,..,58.41874085,34.58333333,39.60264901
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",AZE,Azerbaijan,..,85.15815085,48.50746269,12.45330012
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",BHS,Bahamas,..,..,34.99,34.99
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",BHR,Bahrain,..,26.59574468,26.59574468,26.59574468
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",BGD,Bangladesh,..,53.64587889,49.97175509,8.255682063
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",BRB,Barbados,..,49.5,34.5,39.5
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",BLR,Belarus,..,..,7.160630852,18.1298703
