Series Code,Series Name,Country Code,Country Name,2007,2008,2009,2010,2011
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,AFG,Afghanistan,..,..,0.0065407023,..,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,ALB,Albania,1.261963015,2.6403495068,3.2887287748,3.4864887132,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,DZA,Algeria,..,..,..,..,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,ASM,American Samoa,..,..,..,..,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,AND,Andorra,33.4217962895,35.540162515,38.2626050169,32.7889328808,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,AGO,Angola,0.5706014602,0.5931933338,1.7245918444,..,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,ATG,Antigua and Barbuda,..,15.3209562505,15.944967085,16.4784128058,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,ARG,Argentina,8.6757678165,9.4106762255,9.6099915956,9.8863749065,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,ARM,Armenia,..,2.519220795,2.5751877079,3.1227604014,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,ABW,Aruba,15.3475653634,17.4326706215,..,..,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,AUS,Australia,..,29.6321196745,27.3167658191,27.3571714948,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,AUT,Austria,30.3377356545,24.5390506564,25.6761372862,..,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,AZE,Azerbaijan,2.4600351978,4.5842837336,5.7518779909,9.4761706932,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,BHS,Bahamas,9.1223951761,10.6395413309,11.4041931918,7.2043327491,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,BHR,Bahrain,7.8996859786,7.304066388,6.4966167284,5.3592585401,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,BGD,Bangladesh,..,..,..,..,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,BRB,Barbados,24.3787230596,..,22.351604033,..,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,BLR,Belarus,18.0665481936,16.5065403396,16.920467961,21.3027442986,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,BEL,Belgium,27.1543098342,28.8217305009,30.0638086442,31.887154168,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,BLZ,Belize,2.9158308429,2.951172482,2.9194690208,3.0112923463,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,BEN,Benin,0.1134905042,..,..,..,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,BMU,Bermuda,..,..,..,..,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,BTN,Bhutan,0.8713571824,0.855477121,0.9326504733,1.3536931427,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,BOL,Bolivia,2.0966034015,1.291380559,1.3320078363,1.14787244,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,BIH,Bosnia and Herzegovina,7.2437030204,8.906952639,10.5987950685,13.8921090627,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,BWA,Botswana,..,0.5115555278,0.6044683626,..,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,BRA,Brazil,4.589772699,14.3688936404,11.8549199906,10.7683016779,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,BRN,Brunei Darussalam,15.3862251101,21.9537555726,25.5578212369,..,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,BGR,Bulgaria,8.4757986059,10.901460905,12.7549990892,14.5585623909,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,BFA,Burkina Faso,0.0766476506,0.0996889642,0.1461667909,0.1745187876,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,BDI,Burundi,0.0100028789,0.0503563657,0.0610952125,..,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,KHM,Cambodia,0.1075943955,0.1385335541,..,..,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,CMR,Cameroon,..,..,..,..,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,CAN,Canada,30.818925508,32.1460147239,32.5260795343,..,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,CPV,Cape Verde,2.2317777828,1.8887049086,2.6300747934,3.3641196857,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,CYM,Cayman Islands,..,..,..,..,..
I993,Fixed (wired) Internet subscriptions per 100 inhabitants ,CAF,Central African Rep.,..,..,0.0028716147,0.0027266214,..
