IM code,Series Code,Series Name,Country Code,Country Name,2011,2012
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,AFG,Afghanistan,,
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,ALB,Albania,8.807526645,18.40506195
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,DZA,Algeria,0,0
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,ASM,American Samoa,,
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,AND,Andorra,,
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,AGO,Angola,1.478201724,1.544946001
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,ATG,Antigua and Barbuda,19.69713878,19.88730527
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,ARG,Argentina,11.71360585,12.40327278
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,ARM,Armenia,25.8654825,27.61440116
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,ABW,Aruba,,
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,AUS,Australia,80.10800093,96.22714878
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,AUT,Austria,45.86714882,55.53502438
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,AZE,Azerbaijan,21.50198855,33.29132185
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BHS,Bahamas,0,
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BHR,Bahrain,9.549048571,67.12858178
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BGD,Bangladesh,0.172916921,0.202337432
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BRB,Barbados,0,36.42589152
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BLR,Belarus,18.89897118,32.84331311
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BEL,Belgium,19.35384194,33.72734058
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BLZ,Belize,,0.127971088
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BEN,Benin,0,0.349556953
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BMU,Bermuda,,
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BTN,Bhutan,0.94762464,2.489995909
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BOL,Bolivia,2.811528187,6.713448286
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BIH,Bosnia and Herzegovina,9.225878598,10.86926969
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BWA,Botswana,11.76626428,16.59301873
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BRA,Brazil,20.90686841,36.63486617
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BRN,Brunei Darussalam,6.332001439,7.603198899
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BGR,Bulgaria,29.92343007,40.28184858
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BFA,Burkina Faso,0,0
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,BDI,Burundi,0,0
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,KHM,Cambodia,2.23695146,6.906878699
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,CMR,Cameroon,0,
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,CAN,Canada,38.39570759,50.03762396
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,CPV,Cape Verde,2.996494102,22.53514995
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,CYM,Cayman Islands,,
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,CAF,Central African Rep.,0,0
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,TCD,Chad,0,0
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,CHL,Chile,17.96369037,27.95783258
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,CHN,China,9.463066297,17.24289905
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,COL,Colombia,3.68217955,4.946956836
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,COM,Comoros,0,0
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,COG,Congo,0.483121195,2.081920349
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,ZAR,Congo (Democratic Republic of the),0,
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,CRI,Costa Rica,4.083125731,14.52918138
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,CIV,Cote d'Ivoire,0,
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,HRV,Croatia,46.2027364,52.26043995
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,CUB,Cuba,0,0
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,CYP,Cyprus,30.77181424,33.76527455
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,CZE,Czech Republic,43.37452926,43.95363932
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,PRK,Dem. People's Rep. of Korea,,
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,DNK,Denmark,80.24478367,87.5177954
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,DJI,Djibouti,0,0
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,DMA,Dominica,0,0
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,DOM,Dominican Rep.,7.708284089,15.43737275
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,ECU,Ecuador,10.31706891,22.20304666
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,EGY,Egypt,24.0473767,26.85055733
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,SLV,El Salvador,3.580896383,5.512338587
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GNQ,Equatorial Guinea,0,0
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,ERI,Eritrea,0,0
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,EST,Estonia,41.96571971,72.54206344
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,ETH,Ethiopia,0.283238438,0.440727364
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,FRO,Faroe Islands,,
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,FJI,Fiji,15.545724,10.81749488
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,FIN,Finland,87.10307033,106.522253
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,FRA,France,43.95977346,52.1606674
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GUF,French Guiana,,
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,PYF,French Polynesia,3.124440694,5.817924266
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GAB,Gabon,0,0
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GMB,Gambia,0.506727369,1.218614658
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GEO,Georgia,20.54743954,22.3825918
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,DEU,Germany,34.80906231,41.00109504
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GHA,Ghana,23.02242394,33.30182148
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GIB,Gibraltar,,10.17487533
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GRC,Greece,36.25741668,44.48125289
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GRL,Greenland,2.467886065,4.858638743
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GRD,Grenada,0,0
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GUM,Guam,,
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GTM,Guatemala,4.065779983,4.486849903
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,AAA,Guernsey,,
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GIN,Guinea,0,0
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GNB,Guinea-Bissau,0,0
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,GUY,Guyana,0,0
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,HTI,Haiti,0,0.161091785
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,HND,Honduras,3.675196691,4.185321798
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,HKG,"Hong Kong, China",55.24352281,73.4793822
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,HUN,Hungary,17.20614129,23.09059198
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,ISL,Iceland,56.98501076,71.70489506
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,IND,India,1.852609662,4.900063768
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,IDN,Indonesia,22.0671088,31.86268071
mbsr,I911MW,Active mobile-broadband subscriptions per 100 inhabitants ,IRN,Iran (Islamic Rep. of),0,0
