Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Arab World,ARB,93145751,95588326.4,98125908.8,100765245.2,103516717.6,106387539,109388236.8,112518348.2,115757351.6,119075756,122458759,125879613.4,129377591.3,133024382.3,136916074.4,141115867,145634789.2,150458246.8,155525861.4,160747822.9,166054271,171350703.9,176710498.5,182116683,187515172.9,193014512,198622106.6,204219969.4,209808993,215324594.4,222897615,228826030,232730586,238665591.6,244458524.8,251610144,256942408,262230608.4,267545438,272993468,278744935,284686659,290899287,297337975,304070902,311038460,318257497,325643265,333100677,340421981,347672135,354836030
Caribbean small states,CSS,4174705,4251427.604,4327932.166,4404403.752,4480785.836,4557151,4634799.421,4712464.255,4788171.944,4859582.838,4925446,4983442.043,5035604.557,5084063.31,5131252.04,5179623,5230151.725,5282190.766,5335572.912,5392312.786,5454027,5515647.837,5585566.424,5655261,5722289.406,5777770,5823808.412,5857286.319,5880429.721,5916424.615,5954846,5997448.988,6043699.749,6095533.923,6148240.329,6199725,6257896.425,6312125.675,6363587.051,6408095.364,6453378.551,6499944.619,6542783.224,6581575,6626910,6670809,6715071,6759245,6802199,6842343,6880491,6919403
East Asia & Pacific (all income levels),EAS,1045059313,1048194434,1062285278,1087672093,1112718886,1138819749,1168340658,1196953885,1225967198,1258492940,1291035640,1324589279,1356358526,1386590592,1416636429,1443836574,1468039192,1490928414,1513713590,1536901160,1559592950,1582972565,1608547705,1634063471,1658359236,1683347328,1710029183,1738231603,1766687177,1794483005,1821361049,1847046750,1870962945,1893961039,1916962501,1940025484,1962570996,1984676118,2005980327,2025977108,2044996222,2063264168,2080570097,2097040054,2112930230,2128514617,2143768313,2158577031,2173295332,2187641248,2201613485,2216003701
East Asia & Pacific (developing only),EAP,899015570,898229493.8,909783439.6,932638034.6,955146105.8,978677080,1005802025,1032057363,1059309802,1088292943,1118212323,1148799371,1177674697,1205625754,1232086078,1256136347,1278344672,1298967691,1319553624,1340419582,1360910455,1381988338,1405330968,1428777641,1451201404,1474463334,1499452126,1526043133,1552933956,1579129212,1604413745,1628553824,1651092723,1672774120,1694322157,1715499570,1736367974,1757059388,1777070402,1795967054,1813796742,1830811083,1847032693,1862617646,1877776212,1892696442,1907078666,1920850887,1934410167,1947888513,1961101773,1974218593
Euro area,EMU,260324662,262664432,265082606,267560399,269998609,272419463,274680875,276633994,278468423,280331261,281840838,283334120,285163956,286898566,288473320,289943580,291258065,292463324,293784830,294994483,296211821,297382910,298160968,298734335,299206179,299744263,300456022,301234732,302198784,303490506,304884760,306257534,307703324,309006694,309964115,310813284,311664948,312445578,313160141,313933869,315148901,316606502,318369329,320359847,322426026,324371384,326143212,327996772,329705806,330929819,331943805,332990116
Europe & Central Asia (all income levels),ECS,667973514,675740901.9,683747533.4,691808469.4,699770189.9,707468508,714172335.9,720662390.8,726874789.1,732956275.5,738373990,743950183.3,750208383.1,756158826.1,761907865.3,767480826,772926876,778155682.5,783432351.1,788605797,793927686.2,799192710.4,803960379.3,808546978.9,813339227.6,818237575,823206515.2,828210597.4,833268039.9,838208791,842508567,846048961.7,849436609.3,852426154.5,854310674.5,855783532.6,856901577.4,858206810.8,859221435.3,860242983.8,862185113.6,863766544.9,865530927.3,867992858.7,870686832.2,873529537,876407812,879828885,883610814,887378154,891039428,894649080
Europe & Central Asia (developing only),ECA,280770940,285198614.9,289635788.4,294076324.4,298477565.9,302777045,306367805.9,309990903.8,313510741.1,316964721.5,320317298,323868787.3,327602489.1,331172352.1,334744079.3,338294676,341927605,345480021.5,348981539.1,352468338,356077912.2,359748064.4,363336569.3,366927177.9,370772461.6,374639927,378427289.2,382213545.4,385896414.9,389223251,391770277,393740506.7,395271878.3,396394497.5,396931327.5,397206052.6,397400734.4,397633647.8,397779314.3,397727874.8,398510208.6,398560911.9,398291923.3,398440786.7,398671301.2,399089106,399671049,400606671,401931535,403722093,405670230,407559523
European Union,EUU,405186152,408650688,412271247,415955706,419608413,423105734,426380020,429527625,432455998,435270353,437574752,439823047,442529141,445079692,447473878,449808130,451955717,453920999,455896632,457715846,459578151,461328494,462589629,463655371,464671788,465785714,467052937,468353453,469816957,471386731,472931358,474370512,475824194,477262779,478388067,479348337,480227484,481011896,481750379,482575053,483675854,484629903,486069143,488161510,490411791,492622120,494707108,496961806,499162094,500883709,502302566,503680116
Heavily indebted poor countries (HIPC),HPC,164211215,168159102,172262322,176523221,180943502,185525432,190268877,195176656,200257305,205521575,210976397,216626455,222467566,228487303,234668374,240996917,247561884,254321514,261291725,268492690,275939919,283606166,291523186,299694627,308122046,316807253,325727989,334933908,344414340,354155944,364147284,374701395,385607321,396790208,408166505,419645286,431143127,442858528,454809866,467018232,479507602,492276043,505330568,518683091,532349277,546338602,560567912,575020646,589765122,604874910,620267812,636376666
High income,HIC,743419696,754395198.7,764089736.9,773693112.6,783215028,792356592,800876612.4,809055473.8,816230027,825097836.3,832968501,841447237.1,850032409.2,857768463.9,866582077,875038053.2,881993304.3,889239454.6,896677412.5,904346858.3,911752111,919244538.9,926256412.4,932825469.2,939022544.8,945217349.7,951627880,957995177.9,964485949.3,971449333.2,978962092,986845747,992892115.5,1000699388,1007832610,1016713520,1023443718,1030183409,1036665412,1043066605,1049735057,1056695344,1063909974,1071209524,1078911760,1086710746,1094899575,1103699968,1112698356,1120688810,1127916328,1135003957
High income: nonOECD,NOC,30305229,31179549.67,32121470.89,33058543.58,33969010.05,34878501,35723746.4,36630181.76,37520884.01,38405767.31,39352181,40320381.96,41302035.44,42351282.36,43410421.74,44558146.25,45712622.26,46910111.64,48186133.51,49707090.28,51165139.98,52753514.89,54359522.45,55880017.24,57369427.82,58782843.67,60134348.01,61483212.92,62808225.32,64101799.22,65345962,66215099,65380669.14,66743075.28,67879041.27,70673796,71693861,72722850,73812676,74818215,75803291,77090578,78361437,79623237,81233697,83058573,85147284,87486168,89910834,92084054,93970547,95507932
High income: OECD,OEC,713114467,723215649,731968266,740634569,749246018,757478091,765152866,772425292,778709143,786692069,793616320,801126855.2,808730373.8,815417181.5,823171655.3,830479907,836280682,842329343,848491279,854639768,860586971,866491024,871896890,876945452,881653117,886434506,891493532,896511965,901677724,907347534,913616130,920630648,927511446.4,933956312.4,939953568.4,946039724,951749857,957460559,962852736,968248390,973931766,979604766,985548537,991586287,997678063,1003652173,1009752291,1016213800,1022787522,1028604756,1033945781,1039496025
Latin America & Caribbean (all income levels),LCN,219302838,225531845.2,231954309.8,238516531.4,245144303.4,251786238,258423772.6,265068752.9,271759058.9,278553909.2,285495714,292588539.4,299814504.6,307173820.9,314648317.2,322226798,329912007.1,337694223.4,345560538.7,353474233.8,361418206,369449375.2,377455147.6,385481369,393538538.2,401615053,409718804.4,417833987.3,425938244.7,434025287.6,442065667,450027214,457939041.7,465815840.9,473678355.3,481536721,489402526.4,497250700.4,505203262.9,512864435.4,520370163,527739174,534965369.9,542049968.6,549020343,555876167,562612227,569226101,575760287,582256973,588757676,595271833
Latin America & Caribbean (developing only),LAC,215607966,221770591.1,228122108.9,234612156.5,241172105.3,247753709,254336865.3,260935579.4,267582866.9,274330015.3,281214503,288238560,295389996.6,302666610.3,310061106,317565810,325182621.7,332904422.8,340707161.9,348560573.8,356441145,364408143.2,372345766.8,380306302.4,388298593.8,396318503,404368620.4,412433771.4,420491276.4,428531796.4,436521776,444437026,452303026.6,460126477.6,467933612.1,475739008,483547017.4,491346309.4,499089224.9,506721765.4,514207311,521555468,528758890.9,535820885.6,542768328,549607684,556338704,562955164,569493711,575996974,582501932,589018078
Least developed countries: UN classification,LDC,240415850,246125577.6,252008134.4,258112735.4,264505807.6,271223565,278316395.4,285741965.8,293333286,300861943.8,308177356,315208510.4,322040888.2,328874075.8,335993494.6,343606771,351871445.2,360689890.5,370022011.7,379784938.6,389915459,400378818.4,411228349.3,422448627.5,434021441.8,445930350,458139649.8,470685798.5,483541165.3,496675061.4,510061233,523999632,538271859,552804826,567521662,582334139,597151789,612161471,627373970,642801897,658459645,674354219,690485062,706819726,723315996,739921393,756584412,773293962,790204674,807509321,825210584,843773370
