Series Code,Series Name,Country Code,Country Name,2007,2008,2009,2010,2011
XHH6_IDI,Percentage of households with Internet ,AFG,Afghanistan,1.1,1.15,1.33,1.53,1.7059785128
XHH6_IDI,Percentage of households with Internet ,ALB,Albania,7.8125,8.7890625,11,13.7,15.6625003815
XHH6_IDI,Percentage of households with Internet ,DZA,Algeria,2.6,3.4,7.2,10,15
XHH6_IDI,Percentage of households with Internet ,ASM,American Samoa,..,..,..,..,..
XHH6_IDI,Percentage of households with Internet ,AND,Andorra,..,..,..,..,..
XHH6_IDI,Percentage of households with Internet ,AGO,Angola,3,4.40701535,4.93,5.72,6.438290596
XHH6_IDI,Percentage of households with Internet ,ATG,Antigua and Barbuda,..,36,37,40,45
XHH6_IDI,Percentage of households with Internet ,ARG,Argentina,16,17.6,27,34,38
XHH6_IDI,Percentage of households with Internet ,ARM,Armenia,4.409975445,5.8577225881,9.5,13.6,19.5
XHH6_IDI,Percentage of households with Internet ,ABW,Aruba,..,..,..,63,..
XHH6_IDI,Percentage of households with Internet ,AUS,Australia,63.6600173461,66.6181465308,71.77,74.07,78.9
XHH6_IDI,Percentage of households with Internet ,AUT,Austria,59.62298132,68.92000917,69.75065046,72.9,75.44
XHH6_IDI,Percentage of households with Internet ,AZE,Azerbaijan,9.3,13.8821528827,33.3,35.3,39.5116958618
XHH6_IDI,Percentage of households with Internet ,BHS,Bahamas,..,..,..,..,..
XHH6_IDI,Percentage of households with Internet ,BHR,Bahrain,51,57.7,65.4,74,76.7711715698
XHH6_IDI,Percentage of households with Internet ,BGD,Bangladesh,1.25,1.91069193,2.25,2.64,3.3
XHH6_IDI,Percentage of households with Internet ,BRB,Barbados,41,43,49,51,54.5841941833
XHH6_IDI,Percentage of households with Internet ,BLR,Belarus,11.38,15.64,25.1000106825,31.2,40.3
XHH6_IDI,Percentage of households with Internet ,BEL,Belgium,60.16401735,63.62756924,67.43518349,72.7,76.51
XHH6_IDI,Percentage of households with Internet ,BLZ,Belize,..,..,..,..,..
XHH6_IDI,Percentage of households with Internet ,BEN,Benin,0.06,0.2,0.8,1.2,1.8
XHH6_IDI,Percentage of households with Internet ,BMU,Bermuda,76.23917331,84,88.28,90.52,92.7600021362
XHH6_IDI,Percentage of households with Internet ,BTN,Bhutan,1.80282019,2.822670619,4,6,8.1
XHH6_IDI,Percentage of households with Internet ,BOL,Bolivia,3.3,3.3,5.4,7.5,9.4
XHH6_IDI,Percentage of households with Internet ,BIH,Bosnia and Herzegovina,10.89,12.6,18,23,32
XHH6_IDI,Percentage of households with Internet ,BWA,Botswana,0.08,2,3,4.3,6.3899998665
XHH6_IDI,Percentage of households with Internet ,BRA,Brazil,20,23.83,23.8514986336,27.06,37.84
XHH6_IDI,Percentage of households with Internet ,BRN,Brunei Darussalam,58,60,63,65,69
XHH6_IDI,Percentage of households with Internet ,BGR,Bulgaria,18.95844172,25.29402196,29.5989136,33.1,45
XHH6_IDI,Percentage of households with Internet ,BFA,Burkina Faso,0.006,0.19,1,2,2.4
XHH6_IDI,Percentage of households with Internet ,BDI,Burundi,..,..,2.7,..,..
XHH6_IDI,Percentage of households with Internet ,KHM,Cambodia,..,0.22,0.6,1.6,2.7699999809
XHH6_IDI,Percentage of households with Internet ,CMR,Cameroon,1.2416,1.287989603,1.38,1.9,3
XHH6_IDI,Percentage of households with Internet ,CAN,Canada,72.7282493681,74.5811705189,77.8,78.9,82.84
XHH6_IDI,Percentage of households with Internet ,CPV,Cape Verde,2.2,2.5,3.2,5.7,8.5
XHH6_IDI,Percentage of households with Internet ,CYM,Cayman Islands,..,61.2009544,64.5,66.24,66.5
XHH6_IDI,Percentage of households with Internet ,CAF,Central African Rep.,..,..,..,1.6,1.9
XHH6_IDI,Percentage of households with Internet ,TCD,Chad,..,0.14,0.17,0.9,1.6
XHH6_IDI,Percentage of households with Internet ,CHL,Chile,22.09419197,26.6,31.3,35,38.8237991333
XHH6_IDI,Percentage of households with Internet ,CHN,China,16.43209877,18.25788752,20.3,23.66,30.8539009094
XHH6_IDI,Percentage of households with Internet ,COL,Colombia,10.21,12.8,14.9730240841,19.3,23.4
XHH6_IDI,Percentage of households with Internet ,COM,Comoros,1.2,1.5,1.89,2.38,2.8699088097
XHH6_IDI,Percentage of households with Internet ,COG,Congo,0.22,0.33,0.47,0.7,1
XHH6_IDI,Percentage of households with Internet ,ZAR,Congo (Democratic Republic of the),0.19,0.21,0.3,0.6,1
XHH6_IDI,Percentage of households with Internet ,CRI,Costa Rica,11.7,14.8219035,18.6504984081,24.1,33.58
XHH6_IDI,Percentage of households with Internet ,CIV,Cote d'Ivoire,0.48,0.7,0.86,1.06,1.1977562904
XHH6_IDI,Percentage of households with Internet ,HRV,Croatia,40.58667934,45.26103339,50.04160553,56.5,61.41
XHH6_IDI,Percentage of households with Internet ,CUB,Cuba,0.424194488,0.470827422,1.5,1.9,3
XHH6_IDI,Percentage of households with Internet ,CYP,Cyprus,38.90292957,42.91895165,52.76215083,53.7,57.35
XHH6_IDI,Percentage of households with Internet ,CZE,Czech Republic,35.12112513,45.86251059,54.18356354,60.5,66.63
XHH6_IDI,Percentage of households with Internet ,PRK,Dem. People's Rep. of Korea,..,..,..,..,..
