Country or Area,Year,Source,Value
Albania,2007-2011,UN_UNESCO Institute for Statistics (UIS),96
Algeria,2007-2011,UN_UNESCO Institute for Statistics (UIS),73
Angola,2007-2011,UN_UNESCO Institute for Statistics (UIS),70
Antigua and Barbuda,2007-2011,UN_UNESCO Institute for Statistics (UIS),99
Argentina,2007-2011,UN_UNESCO Institute for Statistics (UIS),98
Armenia,2007-2011,UN_UNESCO Institute for Statistics (UIS),100
Azerbaijan,2007-2011,UN_UNESCO Institute for Statistics (UIS),100
Bahrain,2007-2011,UN_UNESCO Institute for Statistics (UIS),92
Bangladesh,2007-2011,UN_UNESCO Institute for Statistics (UIS),57
Belarus,2007-2011,UN_UNESCO Institute for Statistics (UIS),100
Benin,2007-2011,UN_UNESCO Institute for Statistics (UIS),42
Bhutan,2007-2011,UN_UNESCO Institute for Statistics (UIS),53
Bolivia (Plurinational State of),2007-2011,UN_UNESCO Institute for Statistics (UIS),91
Bosnia and Herzegovina,2007-2011,UN_UNESCO Institute for Statistics (UIS),98
Botswana,2007-2011,UN_UNESCO Institute for Statistics (UIS),84
Brazil,2007-2011,UN_UNESCO Institute for Statistics (UIS),90
Brunei Darussalam,2007-2011,UN_UNESCO Institute for Statistics (UIS),95
Bulgaria,2007-2011,UN_UNESCO Institute for Statistics (UIS),98
Burkina Faso,2007-2011,UN_UNESCO Institute for Statistics (UIS),29
Burundi,2007-2011,UN_UNESCO Institute for Statistics (UIS),67
Cambodia,2007-2011,UN_UNESCO Institute for Statistics (UIS),74
Cameroon,2007-2011,UN_UNESCO Institute for Statistics (UIS),71
Cape Verde,2007-2011,UN_UNESCO Institute for Statistics (UIS),84
CEE/CIS,2007-2011,UN_UNESCO Institute for Statistics (UIS),98
Central African Republic,2007-2011,UN_UNESCO Institute for Statistics (UIS),56
Chad,2007-2011,UN_UNESCO Institute for Statistics (UIS),34
Chile,2007-2011,UN_UNESCO Institute for Statistics (UIS),99
China,2007-2011,UN_UNESCO Institute for Statistics (UIS),94
Colombia,2007-2011,UN_UNESCO Institute for Statistics (UIS),93
Comoros,2007-2011,UN_UNESCO Institute for Statistics (UIS),75
Costa Rica,2007-2011,UN_UNESCO Institute for Statistics (UIS),96
Côte d'Ivoire,2007-2011,UN_UNESCO Institute for Statistics (UIS),56
Croatia,2007-2011,UN_UNESCO Institute for Statistics (UIS),99
Cuba,2007-2011,UN_UNESCO Institute for Statistics (UIS),100
Cyprus,2007-2011,UN_UNESCO Institute for Statistics (UIS),98
Democratic People's Republic of Korea,2007-2011,UN_UNESCO Institute for Statistics (UIS),100
Democratic Republic of the Congo,2007-2011,UN_UNESCO Institute for Statistics (UIS),67
Dominican Republic,2007-2011,UN_UNESCO Institute for Statistics (UIS),90
East Asia and Pacific,2007-2011,UN_UNESCO Institute for Statistics (UIS),94
Eastern and Southern Africa,2007-2011,UN_UNESCO Institute for Statistics (UIS),68
Ecuador,2007-2011,UN_UNESCO Institute for Statistics (UIS),92
Egypt,2007-2011,UN_UNESCO Institute for Statistics (UIS),72
El Salvador,2007-2011,UN_UNESCO Institute for Statistics (UIS),84
Equatorial Guinea,2007-2011,UN_UNESCO Institute for Statistics (UIS),94
Eritrea,2007-2011,UN_UNESCO Institute for Statistics (UIS),68
Estonia,2007-2011,UN_UNESCO Institute for Statistics (UIS),100
Ethiopia,2007-2011,UN_UNESCO Institute for Statistics (UIS),39
Gabon,2007-2011,UN_UNESCO Institute for Statistics (UIS),88
Gambia,2007-2011,UN_UNESCO Institute for Statistics (UIS),50
Georgia,2007-2011,UN_UNESCO Institute for Statistics (UIS),100
Ghana,2007-2011,UN_UNESCO Institute for Statistics (UIS),67
Greece,2007-2011,UN_UNESCO Institute for Statistics (UIS),97
Guatemala,2007-2011,UN_UNESCO Institute for Statistics (UIS),75
Guinea,2007-2011,UN_UNESCO Institute for Statistics (UIS),41
Guinea-Bissau,2007-2011,UN_UNESCO Institute for Statistics (UIS),54
Haiti,2007-2011,UN_UNESCO Institute for Statistics (UIS),49
Honduras,2007-2011,UN_UNESCO Institute for Statistics (UIS),85
Hungary,2007-2011,UN_UNESCO Institute for Statistics (UIS),99
India,2007-2011,UN_UNESCO Institute for Statistics (UIS),63
Indonesia,2007-2011,UN_UNESCO Institute for Statistics (UIS),93
Iran (Islamic Republic of),2007-2011,UN_UNESCO Institute for Statistics (UIS),85
Iraq,2007-2011,UN_UNESCO Institute for Statistics (UIS),78
Italy,2007-2011,UN_UNESCO Institute for Statistics (UIS),99
Jamaica,2007-2011,UN_UNESCO Institute for Statistics (UIS),87
Jordan,2007-2011,UN_UNESCO Institute for Statistics (UIS),93
Kazakhstan,2007-2011,UN_UNESCO Institute for Statistics (UIS),100
Kenya,2007-2011,UN_UNESCO Institute for Statistics (UIS),87
Kuwait,2007-2011,UN_UNESCO Institute for Statistics (UIS),94
Kyrgyzstan,2007-2011,UN_UNESCO Institute for Statistics (UIS),99
Lao People's Democratic Republic,2007-2011,UN_UNESCO Institute for Statistics (UIS),73
Latin America and Caribbean,2007-2011,UN_UNESCO Institute for Statistics (UIS),91
Latvia,2007-2011,UN_UNESCO Institute for Statistics (UIS),100
Least Developed Countries/Territories,2007-2011,UN_UNESCO Institute for Statistics (UIS),60
Lebanon,2007-2011,UN_UNESCO Institute for Statistics (UIS),90
Lesotho,2007-2011,UN_UNESCO Institute for Statistics (UIS),90
Liberia,2007-2011,UN_UNESCO Institute for Statistics (UIS),61
Libya,2007-2011,UN_UNESCO Institute for Statistics (UIS),89
Lithuania,2007-2011,UN_UNESCO Institute for Statistics (UIS),100
Madagascar,2007-2011,UN_UNESCO Institute for Statistics (UIS),64
Malawi,2007-2011,UN_UNESCO Institute for Statistics (UIS),75
Malaysia,2007-2011,UN_UNESCO Institute for Statistics (UIS),93
Maldives,2007-2011,UN_UNESCO Institute for Statistics (UIS),98
Mali,2007-2011,UN_UNESCO Institute for Statistics (UIS),31
Malta,2007-2011,UN_UNESCO Institute for Statistics (UIS),92
Mauritania,2007-2011,UN_UNESCO Institute for Statistics (UIS),58
Mauritius,2007-2011,UN_UNESCO Institute for Statistics (UIS),89
Mexico,2007-2011,UN_UNESCO Institute for Statistics (UIS),93
Middle East and North Africa,2007-2011,UN_UNESCO Institute for Statistics (UIS),77
Mongolia,2007-2011,UN_UNESCO Institute for Statistics (UIS),97
Montenegro,2007-2011,UN_UNESCO Institute for Statistics (UIS),98
Morocco,2007-2011,UN_UNESCO Institute for Statistics (UIS),56
Mozambique,2007-2011,UN_UNESCO Institute for Statistics (UIS),56
Myanmar,2007-2011,UN_UNESCO Institute for Statistics (UIS),92
Namibia,2007-2011,UN_UNESCO Institute for Statistics (UIS),89
Nepal,2007-2011,UN_UNESCO Institute for Statistics (UIS),60
Nicaragua,2007-2011,UN_UNESCO Institute for Statistics (UIS),78
Niger,2007-2011,UN_UNESCO Institute for Statistics (UIS),29
Nigeria,2007-2011,UN_UNESCO Institute for Statistics (UIS),61
Oman,2007-2011,UN_UNESCO Institute for Statistics (UIS),87
Pakistan,2007-2011,UN_UNESCO Institute for Statistics (UIS),55
Panama,2007-2011,UN_UNESCO Institute for Statistics (UIS),94
Papua New Guinea,2007-2011,UN_UNESCO Institute for Statistics (UIS),61
Paraguay,2007-2011,UN_UNESCO Institute for Statistics (UIS),94
Peru,2007-2011,UN_UNESCO Institute for Statistics (UIS),90
Philippines,2007-2011,UN_UNESCO Institute for Statistics (UIS),95
Poland,2007-2011,UN_UNESCO Institute for Statistics (UIS),100
Portugal,2007-2011,UN_UNESCO Institute for Statistics (UIS),95
Qatar,2007-2011,UN_UNESCO Institute for Statistics (UIS),96
Republic of Moldova,2007-2011,UN_UNESCO Institute for Statistics (UIS),99
Romania,2007-2011,UN_UNESCO Institute for Statistics (UIS),98
Russian Federation,2007-2011,UN_UNESCO Institute for Statistics (UIS),100
Rwanda,2007-2011,UN_UNESCO Institute for Statistics (UIS),71
Samoa,2007-2011,UN_UNESCO Institute for Statistics (UIS),99
Sao Tome and Principe,2007-2011,UN_UNESCO Institute for Statistics (UIS),89
Saudi Arabia,2007-2011,UN_UNESCO Institute for Statistics (UIS),87
Senegal,2007-2011,UN_UNESCO Institute for Statistics (UIS),50
Serbia,2007-2011,UN_UNESCO Institute for Statistics (UIS),98
Seychelles,2007-2011,UN_UNESCO Institute for Statistics (UIS),92
Sierra Leone,2007-2011,UN_UNESCO Institute for Statistics (UIS),42
Singapore,2007-2011,UN_UNESCO Institute for Statistics (UIS),96
Slovenia,2007-2011,UN_UNESCO Institute for Statistics (UIS),100
South Africa,2007-2011,UN_UNESCO Institute for Statistics (UIS),89
South Asia,2007-2011,UN_UNESCO Institute for Statistics (UIS),62
Spain,2007-2011,UN_UNESCO Institute for Statistics (UIS),98
Sri Lanka,2007-2011,UN_UNESCO Institute for Statistics (UIS),91
State of Palestine,2007-2011,UN_UNESCO Institute for Statistics (UIS),95
Sub-Saharan Africa,2007-2011,UN_UNESCO Institute for Statistics (UIS),63
Suriname,2007-2011,UN_UNESCO Institute for Statistics (UIS),95
Swaziland,2007-2011,UN_UNESCO Institute for Statistics (UIS),87
Syrian Arab Republic,2007-2011,UN_UNESCO Institute for Statistics (UIS),83
Tajikistan,2007-2011,UN_UNESCO Institute for Statistics (UIS),100
Thailand,2007-2011,UN_UNESCO Institute for Statistics (UIS),94
The former Yugoslav Republic of Macedonia,2007-2011,UN_UNESCO Institute for Statistics (UIS),97
Timor-Leste,2007-2011,UN_UNESCO Institute for Statistics (UIS),58
Togo,2007-2011,UN_UNESCO Institute for Statistics (UIS),57
Tonga,2007-2011,UN_UNESCO Institute for Statistics (UIS),99
Trinidad and Tobago,2007-2011,UN_UNESCO Institute for Statistics (UIS),99
Tunisia,2007-2011,UN_UNESCO Institute for Statistics (UIS),78
Turkey,2007-2011,UN_UNESCO Institute for Statistics (UIS),91
Turkmenistan,2007-2011,UN_UNESCO Institute for Statistics (UIS),100
Uganda,2007-2011,UN_UNESCO Institute for Statistics (UIS),73
Ukraine,2007-2011,UN_UNESCO Institute for Statistics (UIS),100
United Arab Emirates,2007-2011,UN_UNESCO Institute for Statistics (UIS),90
United Republic of Tanzania,2007-2011,UN_UNESCO Institute for Statistics (UIS),73
Uruguay,2007-2011,UN_UNESCO Institute for Statistics (UIS),98
Uzbekistan,2007-2011,UN_UNESCO Institute for Statistics (UIS),99
Vanuatu,2007-2011,UN_UNESCO Institute for Statistics (UIS),83
Venezuela (Bolivarian Republic of),2007-2011,UN_UNESCO Institute for Statistics (UIS),96
Viet Nam,2007-2011,UN_UNESCO Institute for Statistics (UIS),93
Western and Central Africa,2007-2011,UN_UNESCO Institute for Statistics (UIS),57
World,2007-2011,UN_UNESCO Institute for Statistics (UIS),84
Yemen,2007-2011,UN_UNESCO Institute for Statistics (UIS),64
Zambia,2007-2011,UN_UNESCO Institute for Statistics (UIS),71
