Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Arab World,ARB,,,,,,,,,280.3811496,300.629346,318.9812188,359.6445578,424.62239,522.9483742,964.9987198,1046.419461,1251.132426,1406.402459,1504.863825,1942.395435,2495.536085,2492.90173,2250.986764,2059.912487,2023.313346,1940.571109,1774.638556,1841.81053,1728.967164,1779.695938,1933.943832,1852.909118,1951.121278,1926.104108,1922.667786,2005.123539,2168.633293,2258.296604,2151.14532,2300.185216,2595.243533,2473.169825,2453.826281,2703.772951,3082.469063,3660.33586,4257.632452,4815.956431,5951.474539,5015.121487,5704.087264
Caribbean small states,CSS,446.6493045,474.3007152,491.2935525,514.1536078,543.8404645,575.4493824,613.7680583,649.1344137,635.7841649,682.7034889,743.3825625,800.2644212,919.4189441,1000.587686,1282.165964,1487.815673,1517.264381,1740.278653,1765.165139,2004.676105,2437.4816,2633.091574,2888.126398,2919.982007,2739.570309,2673.158687,2406.961034,2569.34463,2711.636232,2731.39256,2901.667847,2855.870993,2782.324274,2868.112196,3018.384943,3293.477049,3555.670341,3960.607892,4295.899334,4536.398232,4912.126997,5009.207337,5232.716153,5594.901109,6044.046924,6846.167877,7629.918129,8448.367345,9569.228132,8087.590909,8606.235259
East Asia & Pacific (all income levels),EAS,149.0425949,147.5950772,148.1357983,161.3322322,180.7219332,197.0675056,214.7095573,227.1910063,244.4785816,274.3321907,312.9861947,338.3609699,409.8472195,528.5937507,596.219143,640.4542252,692.7196115,812.9535565,1009.887155,1080.681638,1152.252067,1254.25086,1207.126121,1259.625009,1330.237487,1388.56505,1780.275177,2046.852396,2424.175884,2497.850621,2575.098806,2859.203366,3079.870566,3407.473472,3754.504557,4187.211196,3979.367541,3782.827488,3341.790875,3685.194465,3948.359541,3638.743459,3664.78299,3996.063114,4445.76968,4694.336712,4941.833804,5492.25123,6291.957607,6426.513646,7408.340688
East Asia & Pacific (developing only),EAP,92.77489747,79.81781238,71.32276823,75.33016518,84.56750507,96.91531126,103.1796257,97.51651516,95.95488352,104.8790683,113.7628066,118.843717,131.4416344,161.9743013,179.2754716,197.5936138,197.4407768,224.7907022,215.0046398,245.4844482,280.0526383,295.1605319,302.5327401,311.6149659,331.7757788,357.0478166,348.6727332,338.1589461,371.5354383,395.8017911,418.1103077,448.8518348,495.0472363,526.9623053,627.1893754,765.4661943,868.6877745,889.7577898,804.0442259,873.8854947,952.2431665,1004.357475,1100.576593,1232.919455,1418.03327,1626.540334,1940.950826,2433.609324,3054.974643,3273.220275,3898.617464
Euro area,EMU,940.8689717,1026.421655,1128.66672,1254.460576,1382.643934,1495.330369,1617.183483,1744.322107,1857.646677,2038.528936,2210.60032,2491.943115,2992.207463,3863.754888,4348.542566,5023.496582,5220.386324,5916.273104,7208.157073,8689.677416,9691.271356,8387.831711,8097.227228,7884.666364,7550.651308,7742.976165,10841.76318,13371.79103,14659.20539,14907.24813,18665.08697,19302.08826,21189.09008,19322.94568,20375.41953,23467.14273,23663.91338,21546.65562,22063.42541,21886.74531,19850.50447,20049.94538,21697.64305,26622.85565,30307.69942,31270.46085,32984.40945,37711.87246,41074.90706,37450.46186,36373.23336
Europe & Central Asia (all income levels),ECS,661.8882044,696.4578301,752.5097899,820.1331237,897.8991941,966.4519843,1040.08724,1108.965606,1146.709913,1248.657407,1350.361239,1510.391968,1795.676061,2263.538225,2537.320749,2952.306497,3049.436291,3433.635322,4156.321713,5043.340231,5668.874151,5009.749909,4800.757522,4627.817858,4420.724155,4546.156645,6131.209512,7479.689241,8262.105081,8401.201911,10168.44735,10423.62088,11126.04136,10193.86263,10651.86885,12170.35325,12388.848,11732.36481,12005.60013,11859.45072,11126.44522,11226.82858,12264.31944,14919.86553,17342.62598,18412.82155,19864.70219,23143.43706,25304.64009,22137.86069,22488.44039
Europe & Central Asia (developing only),ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2301.947437,2429.446369,2324.135226,2142.809973,2095.454438,1819.601814,1936.321201,1948.538423,2031.879074,1896.308316,1603.00788,1781.412265,1776.585016,2031.625366,2562.860291,3378.588615,4263.567605,5223.944586,6739.135888,8295.757332,6468.428531,7556.457758
European Union,EUU,901.7937255,973.4890016,1054.12422,1150.97412,1264.441203,1365.609626,1468.990748,1566.968994,1617.671215,1765.467325,1924.220085,2164.030182,2576.465945,3253.875372,3635.749945,4230.666084,4364.262822,4922.358042,5997.017081,7282.265501,8271.642738,7286.624089,6997.497645,6762.797344,6477.555197,6676.025667,9072.978917,11113.89513,12335.8111,12560.67871,15429.92872,15947.5351,17320.59438,15748.91343,16714.31399,19173.48715,19535.30658,18395.84866,19008.73059,18966.59113,17541.92536,17716.29029,19261.8675,23388.773,26878.2808,27975.68585,29699.36247,34187.79782,36588.33967,32583.99914,32198.54794
Heavily indebted poor countries (HIPC),HPC,108.2243752,108.4621118,115.4106892,136.4177502,118.4835823,135.1168887,143.7674618,137.1723157,139.9095146,152.0381179,155.0535964,162.7470474,171.941889,202.9458389,240.2389651,265.6509422,275.4373475,314.8046376,356.5138261,383.5661769,394.958955,382.1894873,372.233725,342.9138873,333.377189,338.5990215,377.5506156,405.2455366,391.5332531,366.6621006,362.1693071,360.4118449,321.0154129,313.633836,274.2959324,304.4058601,310.6258498,316.8809715,318.1836963,307.4131472,291.7146398,288.134121,303.5323887,337.89901,379.8047895,419.1147685,486.6391534,564.1361596,660.9121539,637.9473198,687.3887261
High income,HIC,1392.377692,1451.390777,1547.579608,1646.256503,1776.555474,1907.032162,2069.618067,2198.457225,2359.327679,2558.815488,2754.251536,3026.168417,3483.922795,4182.400063,4677.611976,5191.247035,5615.875252,6310.200817,7494.938,8584.180228,9504.381389,9565.147888,9404.549483,9641.54674,9993.687201,10424.22019,12571.19497,14435.93242,16136.92967,16770.97095,18674.6337,19567.82498,20890.38281,20918.79852,22268.04143,24393.17775,24398.2544,23868.03562,23789.82357,24859.90808,25195.23473,24796.96355,25690.65754,28612.64153,31568.60509,33073.8574,34624.84008,37581.13173,39598.13514,36821.75891,38254.92832
