cc3,region
AAP,Asia & Pacific
AFR,Africa
AMS,The Americas
ARB-UN,Arab States
ARS,Arab States
CIS,CIS
EAP-UN,East Asia and the Pacific
EAS,East Asia & Pacific (all income levels)
ECA-UN,Europe and Central Asia
ECS,Europe & Central Asia (all income levels)
EUR,Europe
LAC-UN,Latin America and the Caribbean
LCN,Latin America & Caribbean (all income levels)
MEA,Middle East & North Africa (all income levels)
NAC,North America
SAS,South Asia
SAS-UN,South Asia
SSA-UN,Sub-Saharan Africa
SSF,Sub-Saharan Africa (all income levels)
WLD,World
